feature,correlation
total sulfur dioxide,0.09250892550469683
total sulfur dioxide_log,0.08007736443668717
chlorides_log,0.06461922967300349
ph_acidity_balance,0.06269633309360875
chlorides,0.06130041517995044
total_acidity,0.05438891443772251
FA_to_VA_ratio,0.051316324532120434
citric acid,0.03386795306157568
sulphates,0.03312130761365417
volatile acidity,0.03040365924503757
alcohol_density_ratio,0.026198911235657055
density,0.026141938085513784
alcohol,0.02599671144417971
citric_over_total_acid,0.02108056417838758
sulphate_citric_interaction,0.02097884317790604
alcohol_acid_interaction,0.020941073404191372
residual sugar_log,0.004845639025249458
